ID,地域,緯度,経度,ジャンル1,サブジャンル1,ジャンル2,サブジャンル2,ジャンル3,サブジャンル3,名称,概略,郵便番号,住所,電話番号,Fax番号,E-mail,開館時間,休館日,料金,備考,リンク
2048,金沢市,36.557593,136.660953,福祉・健康,AED,,,,,鈴木大拙館（AED）,１Ｆ　受付後方棚,920-0964,金沢市本多町3-4-20,,,,,,,,
2049,金沢市,36.561126,136.658463,福祉・健康,AED,,,,,金沢21世紀美術館（AED）,１Ｆ　救護室前【広坂口（北口）側】,920-0962,金沢市広坂1-2-1,,,,,,,,
2050,金沢市,36.569249,136.663557,福祉・健康,AED,,,,,寺島蔵人邸跡（AED）,１Ｆ　入口付近客用トイレ,920-0912,金沢市大手町10-3,,,,,,,,
2051,金沢市,36.558985,136.658555,福祉・健康,AED,,,,,金沢歌劇座（AED）,１Ｆ　本館ロビー左側壁,920-0993,金沢市下本多町6-27,,,,,,,,
2052,金沢市,36.55877,136.660558,福祉・健康,AED,,,,,中村記念美術館（AED）,１Ｆ　階段横,920-0964,金沢市本多町3-2-29,,,,,,,,
2053,金沢市,36.566706,136.65282,福祉・健康,AED,,,,,金沢市文化ホール（AED）,展示棟１Ｆ　自動ドアを入って左側の階段下,920-0864,金沢市高岡町15-1,,,,,,,,
2054,金沢市,36.558145,136.668057,福祉・健康,AED,,,,,金沢くらしの博物館（AED）,１Ｆ　玄関入り口付近,920-0938,金沢市飛梅3-31,,,,,,,,
2055,金沢市,36.567925,136.639827,福祉・健康,AED,,,,,金沢市民芸術村（AED）,事務所棟１Ｆ　風除室正面壁,920-0046,金沢市大和町1-1,,,,,,,,
2056,金沢市,36.573757,136.665987,福祉・健康,AED,,,,,安江金箔工芸館（AED）,"１Ｆ　受付カウンター脇
事務室扉横",920-0831,金沢市東山1-3-10,,,,,,,,
2057,金沢市,36.559075,136.657868,福祉・健康,AED,,,,,金沢ふるさと偉人館（AED）,１Ｆ　エレベータ前、右側壁,920-0993,金沢市下本多町6-18-4,,,,,,,,
2058,金沢市,36.571444,136.663096,福祉・健康,AED,,,,,泉鏡花記念館（AED）,１Ｆ　入り口自動ドア付近,920-0910,金沢市下新町2-3,,,,,,,,
2059,金沢市,36.485932,136.75746,福祉・健康,AED,,,,,金沢湯涌夢二館（AED）,１Ｆ　階段下コインロッカー横,920-1122,金沢市湯涌イ144-1,,,,,,,,
2060,金沢市,36.571283,136.662707,福祉・健康,AED,,,,,金沢蓄音器館（AED）,１Ｆ　事務室前,920-0902,金沢市尾張町2-11-21,,,,,,,,
2061,金沢市,36.562384,136.650883,福祉・健康,AED,,,,,前田土佐守家資料館（AED）,１Ｆ　玄関ホール　自販機横,920-0981,金沢市片町2-10-17,,,,,,,,
2062,金沢市,36.559025,136.648203,福祉・健康,AED,,,,,室生犀星記念館（AED）,１Ｆ　入口付近,921-8023,金沢市千日町3-22,,,,,,,,
2063,金沢市,36.570902,136.667162,福祉・健康,AED,,,,,徳田秋聲記念館（AED）,１Ｆ　女子トイレ入口右側,920-0831,金沢市東山1-19-1,,,,,,,,
2064,金沢市,36.56267,136.65035,福祉・健康,AED,,,,,金沢市老舗記念館（AED）,１Ｆ　通路奥トイレ前,920-0865,金沢市長町2-2-45,,,,,,,,
2065,金沢市,36.57363,136.674915,福祉・健康,AED,,,,,金沢卯辰山工芸工房（AED）,本館棟１Ｆ　展示室横通路,920-0832,金沢市卯辰町ト10,,,,,,,,
2066,金沢市,36.4943,136.749563,福祉・健康,AED,,,,,金沢湯涌創作の森（AED）,宿泊・受付棟１Ｆ　事務室前,920-1135,金沢市北袋町ヱ36,,,,,,,,
2067,金沢市,36.561567,136.658122,福祉・健康,AED,,,,,金沢能楽美術館（AED）,１Ｆ　男子トイレ前,920-0962,金沢市広坂1-2-25,,,,,,,,
2068,金沢市,36.57634,136.649433,福祉・健康,AED,,,,,金沢市アートホール（AED）,ポルテ金沢　６Ｆ　ホワイエ　上手側ベンチ前,920-0853,金沢市本町2-15-1,,,,,,,,
2069,金沢市,36.570819,136.663707,福祉・健康,AED,,,,,金沢文芸館（AED）,１Ｆ　正面入り口より右側奥,920-0902,金沢市尾張町1-7-10,,,,,,,,
2070,金沢市,36.557375,136.59143,福祉・健康,AED,,,,,埋蔵文化財センター（AED）,１Ｆ　玄関ホール右側出入り口寄りの壁,920-0374,金沢市上安原南60,,,,,,,,
2071,金沢市,36.556019,136.605232,福祉・健康,AED,,,,,埋蔵文化財収蔵庫（AED）,１Ｆ　事務所内左側壁,921-8062,金沢市新保本5-48,,,,,,,,
2072,金沢市,36.490611,136.756638,福祉・健康,AED,,,,,金沢湯涌江戸村（AED）,旧山川家住宅１Ｆ　通庭(入口土間),920-1122,金沢市湯涌荒屋町35-1,,,,,,,,
2073,金沢市,36.572357,136.66584,福祉・健康,AED,,,,,ひがし茶屋休憩館（AED）,１Ｆ　事務室奥,920-0831,金沢市東山1-5-14,,,,,,,,
2074,金沢市,36.564453,136.649566,福祉・健康,AED,,,,,長町武家屋敷休憩館（AED）,１Ｆ　入口奥,920-0865,金沢市長町2-4-36,,,,,,,,
2075,金沢市,36.556662,136.647334,福祉・健康,AED,,,,,西茶屋資料館（AED）,１Ｆ　事務室手前,921-8031,金沢市野町2-25-18,,,,,,,,
2076,金沢市,36.571648,136.654875,福祉・健康,AED,,,,,ＩＴビジネスプラザ武蔵（AED）,４Ｆ　ロビー,920-0855,金沢市武蔵町14-31,,,,,,,,
2077,金沢市,36.566717,136.574515,福祉・健康,AED,,,,,金沢市異業種研修会館（AED）,１Ｆ　ロビー,920-0377,金沢市打木町東1400,,,,,,,,
2078,金沢市,36.62846,136.620258,福祉・健康,AED,,,,,金沢市ものづくり会館（AED）,１Ｆ　事務室,920-0226,金沢市粟崎町4-80-1,,,,,,,,
2079,金沢市,36.490559,136.754519,福祉・健康,AED,,,,,金沢湯涌みどりの里（AED）,１Ｆ　事務室内,920-1122,金沢市湯涌荒屋町47,,,,,,,,
2080,金沢市,36.527778,136.768273,福祉・健康,AED,,,,,医王の里オートキャンプ場（AED）,１Ｆ　総合案内所,920-1111,金沢市大菱池町ニ34,,,,,,,,
2081,金沢市,36.569699,136.656077,福祉・健康,AED,,,,,金沢市西町教育研修館（AED）,１Ｆ　受付カウンター後ろ,920-0913,金沢市西町三番丁16,,,,,,,,
2082,金沢市,36.563153,136.650153,福祉・健康,AED,,,,,中央公民館長町館（AED）,１Ｆ　エレベーター前,920-0865,金沢市長町2-2-43,,,,,,,,
2083,金沢市,36.574726,136.659549,福祉・健康,AED,,,,,中央公民館彦三館（AED）,１Ｆ　事務局前,920-0901,金沢市彦三町1-15-5,,,,,,,,
2084,金沢市,36.523744,136.745981,福祉・健康,AED,,,,,キゴ山ふれあいの研修センター　青少年交流課（AED）,１Ｆ　エントランス右側壁,920-1107,金沢市小豆沢町ｦ4,,,,,,,,
2085,金沢市,36.569638,136.651749,福祉・健康,AED,,,,,玉川図書館（AED）,１Ｆ　貸出カウンター横,920-0863,金沢市玉川町2-20,,,,,,,,
2086,金沢市,36.569985,136.650752,福祉・健康,AED,,,,,玉川こども図書館（AED）,１Ｆ　貸出カウンター内,920-0863,金沢市玉川町2-2,,,,,,,,
2087,金沢市,36.544094,136.649277,福祉・健康,AED,,,,,泉野図書館（AED）,１Ｆ　貸出カウンター内,921-8034,金沢市泉野町4-22-22,,,,,,,,
2088,金沢市,36.594339,136.604294,福祉・健康,AED,,,,,金沢海みらい図書館（AED）,１Ｆ　総合カウンター内,920-0341,金沢市寺中町イ1-1,,,,,,,,
2089,金沢市,36.538157,136.642408,福祉・健康,AED,,,,,教育プラザ富樫(2号館)（AED）,２Ｆ　総合事務室出入口そば,921-8171,金沢市富樫3-10-1,,,,,,,,
2090,金沢市,36.57708,136.651956,福祉・健康,AED,,,,,教育プラザ此花（AED）,１Ｆ　玄関入って右側,920-0852,金沢市此花町2-7,,,,,,,,
2091,金沢市,36.569561,136.653736,福祉・健康,AED,,,,,金沢市松ヶ枝福祉館（AED）,１Ｆ　玄関ホール左側,920-0864,金沢市高岡町7-25,,,,,,,,
2092,金沢市,36.576361,136.651873,福祉・健康,AED,,,,,金沢福祉用具情報プラザ（AED）,１Ｆ　エレベーター前,920-0853,金沢市本町1-10-1,,,,,,,,
2093,金沢市,36.56763,136.689192,福祉・健康,AED,,,,,千寿閣（AED）,１Ｆ　玄関ロビー右壁側,920-0822,金沢市東長江町辺2-1,,,,,,,,
2094,金沢市,36.525277,136.677175,福祉・健康,AED,,,,,万寿苑（AED）,１Ｆ　ホール右側壁,921-8046,金沢市大桑町ヤ1-4,,,,,,,,
2095,金沢市,36.607993,136.59951,福祉・健康,AED,,,,,松寿荘（AED）,１Ｆ　玄関ロビー,920-0338,金沢市金石北3-3-33,,,,,,,,
2096,金沢市,36.509803,136.629528,福祉・健康,AED,,,,,鶴寿園（AED）,１Ｆ　玄関ロビー左壁側,921-8144,金沢市額谷町ヌ1,,,,,,,,
2097,金沢市,36.544406,136.662404,福祉・健康,AED,,,,,十一屋生きがい交流館（AED）,１Ｆ　事務室内,921-8106,金沢市十一屋町4-34,,,,,,,,
2098,金沢市,36.571996,136.65003,福祉・健康,AED,,,,,玉川苑（AED）,１Ｆ　カウンター内,920-0862,金沢市芳斉2-3-28,,,,,,,,
