ID,地域,緯度,経度,ジャンル1,サブジャンル1,ジャンル2,サブジャンル2,ジャンル3,サブジャンル3,名称,概略,郵便番号,住所,電話番号,Fax番号,E-mail,開館時間,休館日,料金,備考,リンク
1986,金沢市,36.559025,136.648203,文化・芸術,,観光,歴史・文化施設,,,室生犀星記念館,金沢の三文豪のひとりで犀川をこよなく愛し、金沢を舞台にした作品も数多く残した、室生犀星の記念館です。犀川近くの生誕地跡に建ち、犀星の作品や直筆の原稿、実際に使っていた仕事机やタンスをはじめとする遺品などを多数展示しています。,921-8023,金沢市千日町3-22,076-245-1108,076-245-1205,saisei@kanazawa-museum.jp,"9:30?17:00(入館は16:30まで)","年末年始(12月29日から1月3日)、展示替期間は休館","一般　300円、65歳以上　200円、高校生以下　無料※別料金の場合があります。",,http://www.kanazawa-museum.jp/saisei/
1987,金沢市,36.571444,136.663096,文化・芸術,,観光,歴史・文化施設,,,泉鏡花記念館,金沢の三文豪の一人、泉鏡花の世界をさまざまな角度からとらえ紹介した記念館。鏡花が生まれ育った当時の面影を色濃く残す茶屋街や｢義血?血｣の舞台として知られる浅野川に程近い、鏡花の生家跡に建てられています。,920-0910,金沢市下新町2-3,076-222-1025,076-222-1040,kyoka@kanazawa-museum.jp,"9:30?17:00(入館は16:30まで)","年末年始(12月29日から1月3日)、展示替期間は休館","一般　300円、65歳以上　200円、高校生以下　無料※別料金の場合があります。",,http://www.kanazawa-museum.jp/kyoka/
1988,金沢市,36.570902,136.667162,文化・芸術,,観光,歴史・文化施設,,,徳田秋聲記念館,金沢の三文豪の一人で「女性を描かせたら神様」と評された自然主義作家・徳田秋聲を紹介する記念館です。ゆかりの場所である「ひがし茶屋街」に近接し、多くの遺品、直筆原稿、初版本を展示する他、忠実に再現された書斎や代表作を和紙人形で紹介するシアターがあります。,920-0831,金沢市東山1-19-1,076-251-4300,076-251-4301,shusei@kanazawa-museum.jp,"9:30?17:00(入館は16:30まで)","年末年始(12月29日から1月3日)、展示替期間は休館","一般　300円、65歳以上　200円、高校生以下　無料※別料金の場合があります。",,http://www.kanazawa-museum.jp/shusei/
1989,金沢市,36.485932,136.75746,文化・芸術,,観光,歴史・文化施設,,,金沢湯涌夢二館,独特の美人画で知られる詩人画家・竹久夢二が最愛の女性・笠井彦乃と幸せな時を過ごした地、湯涌温泉に立地します。画家・詩人・デザイナーなど、多くの才能を持つ夢二の豊かな芸術の世界を紹介しています。,920-1123,金沢市湯涌町イ144-1,076-235-1112,076-235-1115,yumeji@kanazawa-museum.jp,"9:00?17:30(入館は17:00まで)",年中無休(ただし展示替期間は休館),"一般　300円、65歳以上　200円、高校生以下　無料※別料金の場合があります。",,http://www.kanazawa-museum.jp/yumeji/
1990,金沢市,36.569249,136.663557,文化・芸術,,観光,歴史・文化施設,,,寺島蔵人邸,加賀藩士であり画人でもあった寺島蔵人の家屋・土蔵・土塀は、江戸時代中期の中級武家屋敷の姿を伝えるものとして、隣接する池泉回遊式の庭園とともに金沢市指定史跡となっています。邸内では同家伝来の書画工芸などを展示しています。,920-0912,金沢市大手町10-3,076-224-2789,076-224-2789,terashima@kanazawa-museum.jp,"9:30?17:00(入館は16:30まで)","年末年始(12月29日から1月3日)、展示替期間は休館","一般　300円、65歳以上　200円、高校生以下　無料 抹茶料 300円",,http://www.kanazawa-museum.jp/terashima/
1991,金沢市,36.562384,136.650883,文化・芸術,,観光,歴史・文化施設,,,前田土佐守家資料館,五代藩主前田綱紀のころ、加賀藩成立初期からの家臣で功績のあった八家を「加賀八家」とし、家臣の中でも最高位の「年寄」に位置付けました。その一つが藩主前田家の分脈にあたる前田土佐守家です。当館では、同家ゆかりの古文書・書画・調度品など約80点を常時展示しています。,920-0981,金沢市片町2-10-17,076-233-1561,076-261-0806,maedatosa@kanazawa-museum.jp,"9:30?17:00(入館は16:30まで)",展示替期間は休館（年末年始も開館）,"一般　300円、65歳以上　200円、高校生以下　無料※別料金の場合があります。",,http://www.kanazawa-museum.jp/maedatosa/
1992,金沢市,36.571283,136.662707,文化・芸術,,観光,歴史・文化施設,,,金沢蓄音器館,毎日11時、14時、16時にエジソンが発明した蝋管式蓄音器から昭和初期に活躍した大型高級蓄音器まで、実際に音色を聴くことができます。また、日曜日（10時30分、13時30分、15時30分）には、1927年米国ボストン製の自動再演ピアノの調べをお楽しみいただけます。テーマ別鑑賞会も随時開催。,920-0902,金沢市尾張町2-11-21,076-232-3066,076-232-3079,chikuonki@kanazawa-museum.jp,"10:00?17:30(入館は17:00まで)","年末年始(12月29日から1月3日)、展示替期間は休館","一般　300円、65歳以上　200円、高校生以下　無料※別料金の場合があります。",,http://www.kanazawa-museum.jp/chikuonki/
1993,金沢市,36.55877,136.660558,文化・芸術,,観光,美術館・博物館,観光,歴史・文化施設,金沢市立中村記念美術館,"茶道美術の名品をはじめ江戸時代の絵画、古九谷、加賀蒔絵、加賀象嵌など、約1,000点を所蔵する金沢の茶道文化と伝統工芸を紹介する美術館です。希望の方には有料で庭園が眺められる呈茶室で抹茶を提供しています。",920-0964,金沢市本多町3-2-29,076-221-0751,076-221-0753,nakamura@kanazawa-museum.jp,"9:30?17:00(入館は16:30まで)","年末年始(12月29日から1月3日)、展示替期間は休館","一般　300円、65歳以上　200円、高校生以下　無料※別料金の場合があります。茶菓料　200円",,http://www.kanazawa-museum.jp/nakamura/
1994,金沢市,36.558145,136.668057,文化・芸術,,観光,美術館・博物館,観光,歴史・文化施設,金沢くらしの博物館,国指定重要文化財である建物は、明治32年に石川県立金沢第ニ中学校として建てられました。昭和53年に民俗文化財展示館として開館し、平成19年に金沢くらしの博物館と改称しました。館内では、戦前戦後のくらしと、高度成長期の電気製品の登場によるくらしの変化、金沢の職人道具の展示をしています。,920-0938,金沢市飛梅町3-31,076-222-5740,076-222-5740,kurashi@kanazawa-museum.jp,"9:30?17:00(入館は16:30まで)","年末年始(12月29日から1月3日)、展示替期間は休館","一般　300円、65歳以上　200円、高校生以下　無料※別料金の場合があります。",,http://www.kanazawa-museum.jp/minzoku/
1995,金沢市,36.573757,136.665987,文化・芸術,,観光,美術館・博物館,観光,歴史・文化施設,金沢市立安江金箔工芸館,全国生産量の約99％を占める金沢ならではの金箔を紹介する博物館です。金箔ができるまでの工程や製造道具の説明、美術工芸品の展示をとおして、１万分の１ミリの薄さの金箔の世界に触れることができます。,920-0831,金沢市東山1-3-10,076-251-8950,076-251-8952,kinpaku@kanazawa-museum.jp,"9:30?17:00(入館は16:30まで)","年末年始(12月29日から1月3日)、展示替期間は休館","一般　300円、65歳以上　200円、高校生以下　無料※別料金の場合があります。",,http://www.kanazawa-museum.jp/kinpaku/
