"ID","地域","緯度","経度","ジャンル1","サブジャンル1","ジャンル2","サブジャンル2","ジャンル3","サブジャンル3","名称","概略","郵便番号","住所","電話番号","Fax番号","E-mail","開館時間","休館日","料金","備考","リンク"
"491","金沢市","36.5713409","136.6593657","観光","美術館・博物館","","","","","尾張町老舗交流館","一般に無料開放されている旧商家を復元した大正浪漫の建物。","920-0902","金沢市尾張町1-11-11","076-234-6666","076-234-6666","shinise@owaricho.or.jp","午前9時から午後5時まで","火曜日、年末年始","無料","","http://www.owaricho.or.jp/mda.php?url=shinise"
"492","金沢市","36.569673","136.670574","観光","歴史・文化施設","","","","","泉鏡花句碑","金沢の三文豪の一人・泉鏡花の文学碑。卯辰山への登り口の脇にひっそりと建っており、幼い頃母を失った鏡花の心情が伝わる「はゝこひし　夕山桜　峰の松」の句が刻まれている。","920-0832","金沢市卯辰山自然公園","","","","","","","",""
"493","金沢市","36.573068","136.667921","観光","歴史・文化施設","観光","寺社","","","卯辰山山麓寺院群","金沢市内にある三寺院群の一つで、国の重要伝統的建造物群保存地区。卯辰山のふもとに約50の寺院が散在する。","920-0831","金沢市東山　ほか","","","","","","","",""
"494","金沢市","36.564957","136.649607","観光","歴史・文化施設","観光","その他","","","大野庄用水","犀川を水源として長町を流れる用水。金沢市では最も古い用水。","","金沢市内","","","","","","","",""
"495","金沢市","36.572303","136.663629","観光","歴史・文化施設","観光","その他","","","主計町茶屋街","金沢市内にある三茶屋街の一つで、国の重要伝統的建造物群保存地区。浅野川沿いにある情緒豊かな茶屋街。","920-0908","金沢市主計町","","","","","","","",""
"496","金沢市","36.563229","136.652423","観光","歴史・文化施設","観光","その他","","","鞍月用水","犀川を水源として長町に流れる用水。昔と変わらない情緒と風情を感じることができる。","","金沢市内","","","","","","","",""
"497","金沢市","36.552713","136.673291","観光","歴史・文化施設","観光","その他","","","下馬地蔵","天徳院の下馬腰掛所があった所を下馬先といい、昔は天徳院の鎮守白山の社があった。武士はここで馬を降りて天徳院に詣でた。現在は地蔵堂が残り、下馬地蔵と呼ばれている。","920-0935","金沢市石引2-10","","","","","","","",""
"498","金沢市","36.554676","136.653909","観光","歴史・文化施設","観光","庭園・公園","観光","その他","犀川","金沢市内を流れる二つの大きな川の一つ。金沢の文豪、室生犀星がこよなく愛した川で、その豪快な流れから「男川」と呼ばれる。","","金沢市内","","","","","","","",""
"499","金沢市","36.556516","136.66069","観光","歴史・文化施設","観光","その他","","","鈴木大拙誕生地記念碑","鈴木大拙を記念し、その生誕の地に建てた記念碑。","","金沢市内","","","","","","","",""
"500","金沢市","36.607656","136.596891","観光","歴史・文化施設","観光","その他","","","銭屋五兵衛銅像","藩政期の海の豪商、銭屋五兵衛の立像。","920-0338","金沢市金石北　金石銭五公園内","","","","","","","",""
"501","金沢市","36.570485","136.677293","観光","歴史・文化施設","観光","その他","","","徳田秋聲文学碑","卯辰山の望湖台の入口にある金沢の三文豪の一人・徳田秋聲の文学碑。土塀を形どった姿で、秋聲を讃えていた同郷の室生犀星の筆による年譜と、本人自筆の文章が陶板に書かれている。","920-0832","金沢市卯辰山自然公園","","","","","","","",""
"502","金沢市","36.564133","136.650087","観光","歴史・文化施設","観光","その他","","","長町武家屋敷跡","かつての藩士が住んでいた屋敷跡があり、土塀の続く町並みが広がる。","920-0865","金沢市長町","","","","","","","",""
"503","金沢市","36.556817","136.647316","観光","歴史・文化施設","観光","その他","","","にし茶屋街","金沢市内にある三茶屋街の一つ。出格子が美しい茶屋様式の二階建ての家並みが広がる。","921-8031","金沢市野町","","","","","","","",""
